second,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4
359,,,,,,,,,,,0.000000,0,340750,42.03,2866.26
360,,,,,,,,,,,227.723076,1557,342307,42.05,2866.26
361,,,,,,,,,,,329.311762,1905,344212,42.06,2866.26
362,,,,,,,,,,,435.921961,988,345200,42.08,2866.26
363,,,,,,,,,,,462.179843,505,345705,42.11,2866.26
364,,,,,,,,,,,182.669567,461,346166,42.18,2868.99
365,,,,,,,,,,,142.015652,930,347096,42.21,2868.99
366,,,,,,,,,,,0.000000,0,347096,42.28,2879.07
367,,,,,,,,,,,0.000000,0,347096,42.35,2879.41
368,,,,,,,,,,,0.000000,0,347096,42.42,2935.81
369,,,,,,,,,,,0.000000,0,347096,42.47,2941.28
370,,,,,,,,,,,549.102667,641,347737,42.52,2941.28
371,,,,,,,,,,,0.000000,0,347737,42.55,2941.28
372,,,,,,,,,,,173.899304,1448,349185,42.55,2941.28
373,,,,,,,,,,,297.355882,1837,351022,42.56,2941.28
374,,,,,,,,,,,544.489344,1189,352211,42.57,2941.96
375,,,,,,,,,,,251.208664,326,352537,42.62,2941.96
376,,,,,,,,,,,0.000000,0,352537,42.69,2941.96
377,,,,,,,,,,,258.173155,1016,353553,42.71,2944.69
378,,,,,,,,,,,280.892029,383,353936,42.74,2944.69
379,,,,,,,,,,,0.000000,0,353936,42.80,3005.18
380,,,,,,,,,,,313.807629,46,353982,42.87,3006.55
381,,,,,,,,,,,311.217325,1366,355348,42.89,3010.64
382,,,,,,,,,,,0.000000,0,355348,42.96,3027.34
383,,,,,,,,,,,0.000000,0,355348,43.03,3027.19
384,,,,,,,,,,,274.426931,1044,356392,43.10,3032.91
385,,,,,,,,,,,396.008712,1702,358094,43.12,3032.91
386,,,,,,,,,,,348.395788,1542,359636,43.13,3032.91
387,,,,,,,,,,,0.000000,0,359636,43.20,3032.91
388,,,,,,,,,,,272.147085,178,359814,43.19,3032.91
389,,,,,,,,,,,391.137752,1645,361459,43.20,3032.91
390,,,,,,,,,,,0.000000,0,361459,43.23,3033.16
391,,,,,,,,,,,0.000000,0,361459,43.30,3081.67
392,,,,,,,,,,,293.616631,1555,363014,43.34,3081.67
393,,,,,,,,,,,0.000000,0,363014,43.40,3081.67
394,,,,,,,,,,,0.000000,0,363014,43.47,3081.93
395,,,,,,,,,,,703.042006,37,363051,43.53,3081.93
396,,,,,,,,,,,355.608345,1941,364992,43.58,3081.93
397,,,,,,,,,,,362.292318,2189,367181,43.58,3082.18
398,,,,,,,,,,,443.007526,245,367426,43.63,3088.57
399,,,,,,,,,,,0.000000,0,367426,43.62,3088.57
400,,,,,,,,,,,118.112337,848,368274,43.62,3088.57
401,,,,,,,,,,,192.738044,787,369061,43.63,3088.81
402,,,,,,,,,,,0.000000,0,369061,43.69,3130.21
403,,,,,,,,,,,920.864578,333,369394,43.76,3130.21
404,,,,,,,,,,,377.003012,1741,371135,43.79,3130.21
405,,,,,,,,,,,0.000000,0,371135,43.85,3154.72
406,,,,,,,,,,,0.000000,0,371135,43.91,3184.46
407,,,,,,,,,,,397.677433,1273,372408,43.97,3184.90
408,,,,,,,,,,,253.182408,2504,374912,43.99,3184.90
409,,,,,,,,,,,379.180030,662,375574,44.01,3184.90
410,,,,,,,,,,,0.000000,0,375574,44.08,3184.90
411,,,,,,,,,,,337.203330,1172,376746,44.09,3184.90
412,,,,,,,,,,,437.033702,929,377675,44.09,3185.04
413,,,,,,,,,,,0.000000,0,377675,44.14,3185.04
414,,,,,,,,,,,0.000000,0,377675,44.20,3185.04
415,,,,,,,,,,,318.022834,1169,378844,44.24,3185.04
416,,,,,,,,,,,395.763933,416,379260,44.28,3185.04
417,,,,,,,,,,,0.000000,0,379260,44.35,3185.21
418,,,,,,,,,,,0.000000,0,379260,44.40,3185.21
419,,,,,,,,,,,416.566367,1139,380399,44.44,3185.21
420,,,,,,,,,,,462.276258,1394,381793,44.45,3185.29
421,,,,,,,,,,,366.507850,1497,383290,44.45,3185.29
422,,,,,,,,,,,0.000000,0,383290,44.46,3251.58
423,,,,,,,,,,,277.983808,983,384273,44.46,3251.67
424,,,,,,,,,,,387.351561,634,384907,44.46,3251.67
425,,,,,,,,,,,444.089889,96,385003,44.51,3255.37
426,,,,,,,,,,,0.000000,0,385003,44.57,3255.37
427,,,,,,,,,,,289.158824,1626,386629,44.60,3255.37
428,,,,,,,,,,,388.164881,406,387035,44.64,3255.46
429,,,,,,,,,,,0.000000,0,387035,44.70,3255.46
430,,,,,,,,,,,0.000000,0,387035,44.75,3255.46
431,,,,,,,,,,,456.342443,1293,388328,44.80,3259.62
432,,,,,,,,,,,445.041085,948,389276,44.78,3261.72
433,,,,,,,,,,,217.874960,1405,390681,44.79,3263.82
434,,,,,,,,,,,0.000000,0,390681,44.85,3263.82
435,,,,,,,,,,,385.997641,978,391659,44.91,3263.82
436,,,,,,,,,,,444.922810,1104,392763,44.95,3263.91
437,,,,,,,,,,,0.000000,0,392763,45.00,3263.91
438,,,,,,,,,,,0.000000,0,392763,45.05,3263.91
439,,,,,,,,,,,286.151000,1177,393940,45.07,3263.91
440,,,,,,,,,,,595.901336,175,394115,45.08,3263.99
441,,,,,,,,,,,0.000000,0,394115,45.12,3263.99
442,,,,,,,,,,,0.000000,0,394115,45.17,3299.54
443,,,,,,,,,,,0.000000,0,394115,45.22,3299.54
444,,,,,,,,,,,394.991451,1699,395814,45.24,3299.57
445,,,,,,,,,,,307.211182,2014,397828,45.25,3299.57
446,,,,,,,,,,,585.154475,458,398286,45.28,3299.57
447,,,,,,,,,,,0.000000,0,398286,45.32,3299.57
448,,,,,,,,,,,281.525068,1002,399288,45.33,3299.57
449,,,,,,,,,,,375.661302,832,400120,45.33,3299.57
450,,,,,,,,,,,0.000000,0,400120,45.38,3309.19
451,,,,,,,,,,,0.000000,0,400120,45.44,3309.28
452,,,,,,,,,,,0.000000,0,400120,45.49,3309.28
453,,,,,,,,,,,317.197223,656,400776,45.51,3309.28
454,,,,,,,,,,,529.600861,64,400840,45.51,3309.37
455,,,,,,,,,,,0.000000,0,400840,45.57,3309.37
456,,,,,,,,,,,292.492563,1758,402598,45.60,3309.37
457,,,,,,,,,,,362.768348,1352,403950,45.60,3309.37
458,,,,,,,,,,,388.764684,1653,405603,45.61,3309.46
459,,,,,,,,,,,0.000000,0,405603,45.66,3309.46
460,,,,,,,,,,,0.000000,0,405603,45.71,3309.46
461,,,,,,,,,,,452.077651,1226,406829,45.77,3313.73
462,,,,,,,,,,,298.072659,304,407133,45.81,3313.90
463,,,,,,,,,,,0.000000,0,407133,45.86,3313.90
464,,,,,,,,,,,0.000000,0,407133,45.91,3313.90
465,,,,,,,,,,,0.000000,0,407133,45.96,3314.75
466,,,,,,,,,,,736.024787,333,407466,45.95,3314.92
467,,,,,,,,,,,0.000000,0,407466,46.00,3316.97
468,,,,,,,,,,,640.968182,631,408097,46.04,3316.97
469,,,,,,,,,,,306.560718,1851,409948,46.05,3316.97
470,,,,,,,,,,,549.995166,1300,411248,46.05,3317.06
471,,,,,,,,,,,393.468554,1270,412518,46.05,3420.43
472,,,,,,,,,,,0.000000,0,412518,46.10,3420.70
473,,,,,,,,,,,189.101557,1917,414435,46.12,3420.70
474,,,,,,,,,,,342.864804,195,414630,46.16,3420.70
475,,,,,,,,,,,0.000000,0,414630,46.21,3420.70
476,,,,,,,,,,,0.000000,0,414630,46.26,3420.78
477,,,,,,,,,,,0.000000,0,414630,46.30,3420.78
478,,,,,,,,,,,585.964023,497,415127,46.30,3420.84
479,,,,,,,,,,,0.000000,0,415127,46.31,3420.84
480,,,,,,,,,,,304.681259,499,415626,46.36,3420.84
481,,,,,,,,,,,364.019972,1290,416916,46.35,3420.84
482,,,,,,,,,,,316.965492,2005,418921,46.36,3420.84
483,,,,,,,,,,,501.716468,773,419694,46.37,3420.92
484,,,,,,,,,,,0.000000,0,419694,46.42,3420.92
485,,,,,,,,,,,0.000000,0,419694,46.47,3420.92
486,,,,,,,,,,,353.347386,1143,420837,46.53,3428.08
487,,,,,,,,,,,249.783396,660,421497,46.56,3428.25
488,,,,,,,,,,,0.000000,0,421497,46.61,3428.25
489,,,,,,,,,,,0.000000,0,421497,46.65,3428.25
490,,,,,,,,,,,330.935797,1050,422547,46.67,3428.25
491,,,,,,,,,,,494.556855,366,422913,46.67,3428.34
492,,,,,,,,,,,0.000000,0,422913,46.71,3428.34
493,,,,,,,,,,,0.000000,0,422913,46.75,3428.34
494,,,,,,,,,,,364.118725,1486,424399,46.78,3428.34
495,,,,,,,,,,,350.548608,1764,426163,46.78,3428.38
496,,,,,,,,,,,226.855048,1274,427437,46.83,3428.38
497,,,,,,,,,,,0.000000,0,427437,46.87,3428.38
498,,,,,,,,,,,258.964469,1360,428797,46.92,3428.38
499,,,,,,,,,,,292.930506,485,429282,46.96,3428.38
500,,,,,,,,,,,0.000000,0,429282,47.01,3428.47
501,,,,,,,,,,,0.000000,0,429282,47.05,3428.47
502,,,,,,,,,,,265.434838,587,429869,47.07,3428.47
503,,,,,,,,,,,199.142362,838,430707,47.07,3428.47
504,,,,,,,,,,,0.000000,0,430707,47.12,3428.55
505,,,,,,,,,,,243.029603,1374,432081,47.16,3428.55
506,,,,,,,,,,,303.545802,1525,433606,47.16,3428.55
507,,,,,,,,,,,434.255647,1606,435212,47.16,3428.64
508,,,,,,,,,,,326.318652,478,435690,47.19,3428.64
509,,,,,,,,,,,0.000000,0,435690,47.23,3428.64
510,,,,,,,,,,,368.854570,679,436369,47.28,3428.64
511,,,,,,,,,,,513.181463,1085,437454,47.30,3428.73
512,,,,,,,,,,,0.000000,0,437454,47.34,3428.73
513,,,,,,,,,,,0.000000,0,437454,47.39,3428.73
514,,,,,,,,,,,269.333448,156,437610,47.42,3428.73
515,,,,,,,,,,,501.205361,693,438303,47.41,3428.82
516,,,,,,,,,,,0.000000,0,438303,47.44,3428.82
517,,,,,,,,,,,0.000000,0,438303,47.48,3428.82
518,,,,,,,,,,,0.000000,0,438303,47.54,3428.82
519,,,,,,,,,,,346.103988,943,439246,47.57,3428.82
520,,,,,,,,,,,292.606103,1630,440876,47.57,3428.90
521,,,,,,,,,,,349.636766,866,441742,47.60,3428.90
522,,,,,,,,,,,0.000000,0,441742,47.64,3428.90
523,,,,,,,,,,,236.735714,1428,443170,47.68,3428.90
524,,,,,,,,,,,0.000000,0,443170,47.72,3428.99
525,,,,,,,,,,,0.000000,0,443170,47.77,3428.99
526,,,,,,,,,,,0.000000,0,443170,47.80,3428.99
527,,,,,,,,,,,533.438943,257,443427,47.82,3428.99
528,,,,,,,,,,,0.000000,0,443427,47.83,3428.99
529,,,,,,,,,,,0.000000,0,443427,47.87,3429.08
530,,,,,,,,,,,248.775179,713,444140,47.90,3429.08
531,,,,,,,,,,,264.858684,1251,445391,47.91,3429.08
532,,,,,,,,,,,354.953571,2307,447698,47.93,3429.17
533,,,,,,,,,,,219.229213,633,448331,47.94,3429.17
534,,,,,,,,,,,0.000000,0,448331,47.99,3429.17
535,,,,,,,,,,,464.844926,868,449199,48.04,3429.17
536,,,,,,,,,,,439.314673,1154,450353,48.03,3429.17
537,,,,,,,,,,,0.000000,0,450353,48.07,3429.17
538,,,,,,,,,,,0.000000,0,450353,48.11,3429.17
539,,,,,,,,,,,0.000000,0,450353,48.16,3429.17
540,,,,,,,,,,,0.000000,0,450353,48.19,3429.17
541,,,,,,,,,,,565.038302,326,450679,48.23,3429.17
542,,,,,,,,,,,0.000000,0,450679,48.24,3429.17
543,,,,,,,,,,,0.000000,0,450679,48.28,3429.17
544,,,,,,,,,,,583.171409,667,451346,48.31,3429.17
545,,,,,,,,,,,497.462736,1227,452573,48.31,3429.17
546,,,,,,,,,,,429.209945,1016,,,
